Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:58Q3FZFs1YXPpliWQB5kXB,"Right Now","Supernatural","NewJeans",2024-06-21,160413,73,false,giovani.lightz,2025-09-12T15:08:25Z,"k-pop","ADOR",0.67,0.802,3,-6.555,0,0.0468,0.123,0.00478,0.121,0.551,171.977,4
spotify:track:5ocSQW5sIUIOFojwXEz9Ki,"Supernatural","Supernatural","NewJeans",2024-06-21,191000,80,false,giovani.lightz,2025-08-20T22:25:31Z,"k-pop","ADOR",0.699,0.708,10,-4.182,0,0.0496,0.185,0.00000843,0.0921,0.863,108.887,4
spotify:track:0a4MMyCrzT0En247IhqZbD,"Hype Boy","NewJeans 1st EP 'New Jeans'","NewJeans",2022-08-01,179026,80,false,giovani.lightz,2025-08-20T22:24:17Z,"k-pop","ADOR",0.593,0.935,4,-3.43,0,0.225,0.268,0,0.286,0.783,99.976,4
spotify:track:2pIUpMhHL6L9Z5lnKxJJr9,"Attention","NewJeans 1st EP 'New Jeans'","NewJeans",2022-08-01,180066,80,false,giovani.lightz,2025-08-20T22:24:13Z,"k-pop","ADOR",0.811,0.648,10,-3.684,0,0.0368,0.236,0,0.0761,0.695,104.988,4
spotify:track:2DwUdMJ5uxv20EhAildreg,"Cookie","NewJeans 1st EP 'New Jeans'","NewJeans",2022-08-01,235562,77,false,giovani.lightz,2025-11-05T23:17:23Z,"k-pop","ADOR",0.847,0.638,0,-3.764,1,0.0575,0.0596,0,0.0894,0.661,156.935,4
spotify:track:62J3LcwTASdo624WsF3L6k,"GODS","GODS","League of Legends;NewJeans",2023-10-04,220878,74,false,giovani.lightz,2026-06-27T22:00:02Z,"k-pop","Riot Games",0.588,0.765,3,-5.914,0,0.0518,0.00685,0.0000323,0.2,0.492,145.988,4
spotify:track:65FftemJ1DbbZ45DUfHJXE,"OMG","NewJeans 'OMG'","NewJeans",2023-01-02,212253,81,false,giovani.lightz,2025-08-20T22:24:21Z,"k-pop","ADOR",0.804,0.771,9,-4.067,0,0.0433,0.357,0.00000307,0.108,0.739,126.956,4
spotify:track:0UrKZhfmr8R4dIsmiFEzg4,"Pop Pop","Pop Pop","xooos",2026-02-27,177258,24,false,giovani.lightz,2026-03-25T20:59:36Z,"","EMA Recordings",0.756,0.728,9,-5.85,1,0.0475,0.0269,0.00065,0.0858,0.746,121.986,4
spotify:track:4JfKujzhQU03gk0HCyt4vu,"Fabricated Love","Made In Heart","xooos",2023-05-30,179253,0,false,giovani.lightz,2025-09-25T01:55:39Z,"","ADA Korea",0.655,0.614,1,-6.001,1,0.0688,0.514,0,0.1,0.677,77.044,4
spotify:track:5eTCRIuEIoQaPK9jJFoc2n,"There There","Made In Heart","xooos",2023-05-30,155066,19,false,giovani.lightz,2025-09-26T00:58:31Z,"","WAVY",0.459,0.378,3,-8.199,1,0.0521,0.822,0,0.196,0.425,151.076,3
spotify:track:6TBJkXHPhu3EsMk1bshwuI,"ONLY","4 ONLY","LEEHI",2021-09-09,240906,79,false,giovani.lightz,2025-09-17T22:12:44Z,"k-ballad,k-pop","Genie Music Corporation, Stone Music Entertainment",0.536,0.296,5,-7.451,1,0.0346,0.892,0,0.0873,0.151,122.907,3
spotify:track:39382sUtIOwIXftX0i76do,"H.S.K.T. (feat. Wonstein)","4 ONLY","LEEHI;Wonstein",2021-09-09,204453,70,false,giovani.lightz,2025-09-14T04:29:02Z,"k-ballad,k-pop,k-rap","Genie Music Corporation, Stone Music Entertainment",0.756,0.672,9,-5.711,0,0.0373,0.252,0.000341,0.117,0.327,113.975,4
spotify:track:06c1p8O0RF26U0jSGJ7Rbc,"GRWM (Get Ready With Me)","MAMIHLAPINATAPAI","ILLIT",2026-04-30,168682,70,false,giovani.lightz,2026-06-27T22:05:16Z,"k-pop","BELIFT LAB",0.538,0.783,6,-6.149,0,0.106,0.0939,0.0000591,0.0733,0.459,84.375,4
spotify:track:16VomaSiUmaRdubMxh4FyY,"paw, paw!","MAMIHLAPINATAPAI","ILLIT",2026-04-30,149852,71,false,giovani.lightz,2026-06-27T22:05:14Z,"k-pop","BELIFT LAB",0.819,0.657,1,-6.866,1,0.0379,0.317,0.00879,0.14,0.56,139.988,4
spotify:track:3nGm6agHE598KavgIyATy7,"Love, older you","MAMIHLAPINATAPAI","ILLIT",2026-04-30,158204,71,false,giovani.lightz,2026-05-07T23:41:12Z,"k-pop","BELIFT LAB",0.607,0.402,1,-10.354,1,0.0301,0.317,0.000767,0.263,0.208,128.039,4
spotify:track:21LtZQQMQYwVIxc9O9Ygq8,"Cherish (My Love)","Cherish (My Love) (Remixes)","ILLIT",2024-10-28,176854,79,false,giovani.lightz,2025-11-15T04:00:14Z,"k-pop","BELIFT LAB",0.714,0.821,4,-3.835,1,0.065,0.236,0,0.164,0.303,142.97,4
spotify:track:6QqrxJe1iQxwLY6he6FLFo,"Midnight Fiction","SUPER REAL ME","ILLIT",2024-03-25,168104,74,false,giovani.lightz,2025-09-12T15:26:03Z,"k-pop","BELIFT LAB",0.687,0.837,4,-5.722,1,0.0344,0.241,0,0.231,0.824,129.942,4
spotify:track:1aKvZDoLGkNMxoRYgkckZG,"Magnetic","SUPER REAL ME","ILLIT",2024-03-25,160688,86,false,giovani.lightz,2025-08-20T22:29:25Z,"k-pop","BELIFT LAB",0.797,0.668,6,-5.819,1,0.0687,0.257,0,0.0876,0.69,131.067,4
spotify:track:2kIUILBPlz4exX9xIFS275,"Lucky Girl Syndrome","SUPER REAL ME","ILLIT",2024-03-25,140021,79,false,giovani.lightz,2025-08-21T15:36:07Z,"k-pop","BELIFT LAB",0.757,0.915,0,-4.382,1,0.0678,0.019,0,0.201,0.439,119.986,4
spotify:track:0wFU2pYHZi45Ws1VD6aSJX,"jellyous","bomb","ILLIT",2025-06-16,163243,74,false,giovani.lightz,2025-09-15T01:09:25Z,"k-pop","BELIFT LAB",0.633,0.861,8,-3.939,1,0.169,0.0472,0,0.0676,0.44,162.065,4
spotify:track:4p0uVFAXKUISu8yp9gNtWE,"Billyeoon Goyangi (Do the Dance)","bomb","ILLIT",2025-06-16,188641,83,false,giovani.lightz,2025-09-15T01:15:36Z,"k-pop","BELIFT LAB",0.645,0.74,1,-4.278,0,0.244,0.0235,0,0.247,0.767,129.954,4
